ResponseID,Block,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,first_of_many,gender,age,zip_code,Amer_Ind,Asian,Black,Hispanic,Island,Middle_East,North_African,White,Other,Other_text,education,income,employment,attention2,pol_party,pol_party_other,freq_rec,nat_air_water,tech_sol,hum_abuse,balance_nat,ecol_crisis,nat_res,spaceship,hum_right,ecol_cat,lose_hab,plants_and_an,resp_harm,impact_dec,who_I_am,health_nat,think_wild,place_comm,citizen_care,family,identify,hum_elsewhere,feedback,lat,long,IPAddress,StartDate,EndDate,seen_turb,WP_US,wp_state,likely_cst_ec,attention_att
R_5ndSEURIN8H1bSJ,1,0,1,1,1,0,0,0,1,No effect on my attitude,Male,25,1852,0,0,0,0,0,0,0,White European,0,,High school graduate,"Less than $10,000",Out of work,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",,42.65229797,-71.3506012,50.157.182.233,7/10/15 13:48,7/10/15 13:58,Yes,Very positive,Encouraged,No difference,None of the Above
R_6rQf5tvvvW00JQ9,1,0,1,1,1,0,0,0,1,Much more likely to support,Male,20,2115,0,0,0,0,0,0,0,White European,0,,Some college credit ,"$75,000-$99,999",Student,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",I enjoyed this because its about our future and we need to start these programs. This shouldn't be a survey this should be done. People fight against what needs to happen but sit idly by when the earth is destroyed by whats already happened. ,42.34509277,-71.09929657,69.43.65.114,7/10/15 14:04,7/10/15 14:13,Yes,Very positive,Encouraged,More likely,0
R_0N8eYana0RLX9UF,1,0,1,1,1,0,0,0,1,No effect on my attitude,Female,25,2171,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$100,000-$124,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Stongly Disagree,Agree,Strongly Agree,Stongly Disagree,Strongly Agree,-99,Strongly Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",Thank you,40.41690063,-74.25789642,208.167.254.240,7/10/15 15:08,7/10/15 15:24,Yes,Positive,Encouraged,No difference,None of the Above
R_0PwlUujFg5mZFGJ,1,0,1,2,1,0,0,0,1,No effect on my attitude,Female,28,6779,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$50,000-$74,999",Student,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Agree,Disagree,Stongly Disagree,Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,,41.418396,-72.90730286,73.219.250.48,7/10/15 15:20,7/10/15 15:28,Yes,Very positive,Encouraged,No difference,None of the Above
R_3BHxg7xEcXZrZMF,1,0,1,2,0,1,2,2,1,More likely to support,Female,20,6708,0,0,Black or African American,0,0,0,0,0,0,,Some college credit ,"$75,000-$99,999",Student,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Agree,Disagree,Agree,Stongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Stongly Disagree,Strongly Agree,Agree,Stongly Disagree,Disagree,Disagree,Disagree,Agree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,41.55140686,-73.06520081,76.28.24.7,7/10/15 15:28,7/10/15 15:41,No,Very positive,Tolerated,No difference,None of the Above
R_6sVd1MweY9SicqF,1,0,1,1,1,0,0,0,1,No effect on my attitude,Female,26,3873,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$100,000-$124,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Stongly Disagree,Agree,Agree,Stongly Disagree,Agree,Stongly Disagree,Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Stongly Disagree,Disagree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,,42.79499817,-71.2256012,73.149.212.130,7/10/15 18:57,7/10/15 19:05,Yes,Positive,Encouraged,No difference,None of the Above
R_aYv8mHBZlj0CRq5,1,0,1,1,1,0,0,0,1,No effect on my attitude,Male,22,1906,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$35,000-$49,999",Student,"Yes, I am an MT worker ",None,,"Every now and then, 5-10 times/year",Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Stongly Disagree,Agree,Agree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,42.47329712,-70.94190216,76.23.210.99,7/10/15 22:47,7/10/15 22:59,Yes,Positive,Encouraged,No difference,None of the Above
R_9AXCsuRHBqoimvb,1,0,1,1,1,0,0,0,1,No effect on my attitude,Male,30,2127,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$150,000-$174,999",Employed for wages,"Yes, I am an MT worker ",Republican party,,"Frequently, 20+ times/year",Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,This is <strong>somewhat like</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,,51.51420593,-0.093093872,90.207.135.241,7/11/15 0:34,7/11/15 0:43,Yes,Very positive,Encouraged,No difference,None of the Above
R_3n6wJgesn7ivrbT,1,0,1,2,1,0,2,0,1,No effect on my attitude,Male,27,1080,0,0,0,0,0,0,0,White European,0,,Some college credit ,"$15,000-$24,999",Student,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Strongly Agree,Disagree,Strongly Agree,Stongly Disagree,Stongly Disagree,Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,42.0953064,-72.32450104,73.16.208.49,7/11/15 7:57,7/11/15 8:06,Yes,Very positive,Encouraged,No difference,None of the Above
R_1XkWisNy2AsUpZH,1,0,1,2,1,0,2,0,1,More likely to support,Male,19,2472,0,0,0,0,0,0,0,White European,0,,High school graduate,"$50,000-$74,999",Student,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",This helped me realize my true beliefs about the life in the ocean that we don't pay enough attention to.,42.37219238,-71.17870331,146.115.179.54,7/11/15 9:12,7/11/15 9:29,Yes,Positive,Tolerated,Less likely    ,None of the Above
