id,Block,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,ResponseID,race,first_of_many,gender,age,zip_code,education,income,employment,attention2,pol_party,pol_party_other,freq_rec,nat_air_water,tech_sol,hum_abuse,balance_nat,ecol_crisis,nat_res,spaceship,hum_right,ecol_cat,lose_hab,plants_and_an,resp_harm,impact_dec,who_I_am,health_nat,think_wild,place_comm,citizen_care,family,identify,hum_elsewhere,feedback,lat,long,IPAddress,StartDate,EndDate,seen_turb,WP_US,wp_state,likely_cst_ec,attention_att
1,4,0,1,0,1,0,0,1,1,R_02Il4uscqNJuWBT,White European,Much more likely to support,Male,28,11101,Bechelor degree,"$125,000-$149,000",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Stongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,"Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,40.74000549,-73.93609619,24.90.220.66,7/11/15 10:14,7/11/15 10:23,Yes,Very positive,Encouraged,No difference,0
2,4,0,1,0,1,0,1,1,1,R_03dxZHgSxRRcU7P,White European,No effect on my attitude,Female,28,1375,Bechelor degree,"$10,000-$14,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Stongly Disagree,Disagree,Agree,Stongly Disagree,Agree,Stongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>very much like</strong> how I think about the ocean",,42.47639465,-72.62640381,75.68.205.238,7/11/15 18:05,7/11/15 18:14,No,Very positive,Tolerated,No difference,0
3,3,0,0,0,1,1,0,0,1,R_06Y0lnVBn4wxJ3L,White European,Much more likely to support,Female,49,6095,Some college credit ,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Stongly Disagree,Agree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,,44.97999573,-93.26380157,198.177.6.251,7/21/15 8:02,7/21/15 8:12,Yes,Very positive,Encouraged,No difference,None of the Above
4,2,1,1,0,1,1,1,1,1,R_07AGQOGDunwlNtj,White European,No effect on my attitude,Female,47,6457,Associate degree,"$10,000-$14,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Strongly Agree,Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Neither Agree nor Disagree,Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",I enjoyed it!,41.54969788,-72.65309906,50.187.89.171,7/17/15 8:22,7/17/15 8:35,No,Very positive,Encouraged,No difference,None of the Above
5,4,0,0,0,0,0,0,0,1,R_0BbFw5YG2F7Lzmt,White European,More likely to support,Female,31,1601,Associate degree,"$50,000-$74,999",Employed for wages,"Yes, I have done many HITs",Democratic party,,"Frequently, 20+ times/year",Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",,42.30589294,-71.08589935,172.56.22.211,7/23/15 11:29,7/23/15 11:42,Yes,Very positive,Encouraged,No difference,None of the Above
6,2,1,1,2,2,1,1,1,1,R_0ca6ARQoBohPc5T,"Hispanic, Latino or Spanish",More likely to support,Male,20,2766,Bechelor degree,"$35,000-$49,999",Student,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Stongly Disagree,Stongly Disagree,Agree,Stongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,42.38009644,-71.06420135,74.61.203.22,7/11/15 18:43,7/11/15 18:58,Yes,Very positive,Encouraged,No difference,0
7,2,1,1,0,1,1,1,1,0,R_0ccMuYX35uxjiHH,White European,More likely to support,Female,28,2703,Bechelor degree,"$35,000-$49,999",A homemaker ,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Disagree,Agree,Stongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Stongly Disagree,Neither Agree nor Disagree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>very much like</strong> how I think about the ocean",interesting material!,41.73049927,-71.11450195,98.118.26.222,7/14/15 10:56,7/14/15 11:07,Yes,Very positive,Encouraged,No difference,None of the Above
8,1,0,1,1,1,0,0,0,1,R_0CJgoxE736KONEh,White European,More likely to support,Female,28,3820,Graduate degree or Professional degree ,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Strongly Agree,Disagree,Stongly Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,43.18710327,-70.91000366,73.219.101.149,7/26/15 9:44,7/26/15 9:53,Yes,Very positive,Encouraged,No difference,None of the Above
9,2,1,1,0,1,1,1,1,0,R_0cR05LOhW7P7qIJ,White European,No effect on my attitude,Male,34,1607,Some college credit ,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Stongly Disagree,Disagree,Agree,Stongly Disagree,Agree,Stongly Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",,42.24229431,-71.80989838,75.143.58.103,7/16/15 17:29,7/16/15 17:37,Yes,Very positive,Encouraged,No difference,None of the Above
10,4,0,1,0,1,0,0,1,1,R_0cuvRoyOulek00R,White European,More likely to support,Female,25,6268,Bechelor degree,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Strongly Agree,Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",No thank you,41.78160095,-72.18099976,66.168.46.175,7/13/15 16:05,7/13/15 16:13,Yes,Very positive,Encouraged,No difference,None of the Above
