BLOCK,QES,ALT,ASC,small.loss,small.gain,big.gain,municipal,private,cooperative,mi4,mi8,mi10,bill
1,1,1,1,0,1,0,0,0,0,0,0,0,1
1,1,2,1,1,0,0,0,1,0,0,1,0,5
1,1,3,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,0,0,0,0,1,0,1,0,1
1,2,2,1,0,1,0,1,0,0,0,0,0,5
1,2,3,0,0,0,0,0,0,0,0,0,0,0
1,3,1,1,0,0,0,1,0,0,1,0,0,5
1,3,2,1,1,0,0,0,0,0,0,0,0,10
1,3,3,0,0,0,0,0,0,0,0,0,0,0
1,4,1,1,0,0,0,0,0,1,0,0,0,5
1,4,2,1,0,1,0,0,1,0,1,0,0,10
1,4,3,0,0,0,0,0,0,0,0,0,0,0
1,5,1,1,0,0,1,0,0,0,0,0,0,1
1,5,2,1,0,1,0,0,1,0,1,0,0,5
1,5,3,0,0,0,0,0,0,0,0,0,0,0
1,6,1,1,1,0,0,1,0,0,0,0,0,5
1,6,2,1,0,0,0,0,0,0,1,0,0,1
1,6,3,0,0,0,0,0,0,0,0,0,0,0
1,7,1,1,0,0,1,0,1,0,0,0,0,10
1,7,2,1,0,0,0,1,0,0,0,0,1,5
1,7,3,0,0,0,0,0,0,0,0,0,0,0
1,8,1,1,1,0,0,0,0,1,1,0,0,5
1,8,2,1,0,1,0,1,0,0,0,1,0,1
1,8,3,0,0,0,0,0,0,0,0,0,0,0
2,9,1,1,0,0,0,0,0,0,0,0,0,5
2,9,2,1,0,0,1,1,0,0,0,1,0,1
2,9,3,0,0,0,0,0,0,0,0,0,0,0
2,10,1,1,0,0,0,0,1,0,0,0,0,10
2,10,2,1,0,1,0,1,0,0,1,0,0,1
2,10,3,0,0,0,0,0,0,0,0,0,0,0
2,11,1,1,1,0,0,0,1,0,0,1,0,1
2,11,2,1,0,0,0,1,0,0,1,0,0,10
2,11,3,0,0,0,0,0,0,0,0,0,0,0
2,12,1,1,0,0,0,0,0,0,0,1,0,5
2,12,2,1,1,0,0,1,0,0,1,0,0,10
2,12,3,0,0,0,0,0,0,0,0,0,0,0
2,13,1,1,0,0,0,0,1,0,0,0,1,1
2,13,2,1,0,0,1,0,0,0,0,0,0,5
2,13,3,0,0,0,0,0,0,0,0,0,0,0
2,14,1,1,1,0,0,0,1,0,0,0,1,20
2,14,2,1,0,1,0,0,0,1,0,1,0,5
2,14,3,0,0,0,0,0,0,0,0,0,0,0
2,15,1,1,1,0,0,0,0,0,1,0,0,1
2,15,2,1,0,1,0,1,0,0,0,1,0,10
2,15,3,0,0,0,0,0,0,0,0,0,0,0
2,16,1,1,1,0,0,0,0,0,0,1,0,5
2,16,2,1,0,1,0,0,1,0,0,0,0,20
2,16,3,0,0,0,0,0,0,0,0,0,0,0
3,17,1,1,0,1,0,0,0,0,1,0,0,20
3,17,2,1,0,0,0,0,1,0,0,0,1,10
3,17,3,0,0,0,0,0,0,0,0,0,0,0
3,18,1,1,0,0,1,0,0,1,0,0,1,10
3,18,2,1,0,0,0,0,1,0,0,0,0,5
3,18,3,0,0,0,0,0,0,0,0,0,0,0
3,19,1,1,0,1,0,0,0,0,0,0,1,20
3,19,2,1,0,0,1,1,0,0,1,0,0,5
3,19,3,0,0,0,0,0,0,0,0,0,0,0
3,20,1,1,0,0,0,1,0,0,0,1,0,10
3,20,2,1,0,1,0,0,1,0,1,0,0,5
3,20,3,0,0,0,0,0,0,0,0,0,0,0
3,21,1,1,0,0,1,1,0,0,0,0,1,5
3,21,2,1,0,1,0,0,0,1,0,1,0,10
3,21,3,0,0,0,0,0,0,0,0,0,0,0
3,22,1,1,0,1,0,0,0,0,0,0,1,5
3,22,2,1,0,0,0,1,0,0,0,1,0,10
3,22,3,0,0,0,0,0,0,0,0,0,0,0
3,23,1,1,0,0,1,0,1,0,1,0,0,10
3,23,2,1,0,1,0,1,0,0,0,1,0,20
3,23,3,0,0,0,0,0,0,0,0,0,0,0
3,24,1,1,1,0,0,0,0,1,0,1,0,20
3,24,2,1,0,0,1,0,0,0,0,0,1,10
3,24,3,0,0,0,0,0,0,0,0,0,0,0
4,25,1,1,0,0,1,0,0,1,0,0,1,20
4,25,2,1,1,0,0,0,1,0,0,0,1,1
4,25,3,0,0,0,0,0,0,0,0,0,0,0
4,26,1,1,0,0,0,0,0,0,0,1,0,10
4,26,2,1,1,0,0,0,0,1,0,0,1,20
4,26,3,0,0,0,0,0,0,0,0,0,0,0
4,27,1,1,0,1,0,0,1,0,0,1,0,10
4,27,2,1,1,0,0,1,0,0,0,0,0,1
4,27,3,0,0,0,0,0,0,0,0,0,0,0
4,28,1,1,0,0,0,0,0,1,1,0,0,1
4,28,2,1,1,0,0,0,0,0,0,1,0,5
4,28,3,0,0,0,0,0,0,0,0,0,0,0
4,29,1,1,1,0,0,0,0,0,1,0,0,10
4,29,2,1,0,0,0,0,1,0,0,0,0,1
4,29,3,0,0,0,0,0,0,0,0,0,0,0
4,30,1,1,0,0,1,0,1,0,0,1,0,20
4,30,2,1,0,1,0,0,0,1,0,0,1,10
4,30,3,0,0,0,0,0,0,0,0,0,0,0
4,31,1,1,1,0,0,1,0,0,0,0,0,10
4,31,2,1,0,0,1,0,1,0,0,1,0,5
4,31,3,0,0,0,0,0,0,0,0,0,0,0
4,32,1,1,0,0,0,0,0,0,1,0,0,20
4,32,2,1,0,1,0,0,1,0,0,0,0,1
4,32,3,0,0,0,0,0,0,0,0,0,0,0
