ID,Block,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,white,female,age,univ_degr,income,wages,self-emp,pol_dem,pol_ind,pol_rep,coast_rec,mean_nep,mean_rel,mean_met,mean_inst,mean_mor,att_w_US,oper,const_st,wf_rec,sup,opp,dis,skep,int,af,con,cur,ap,enth,app,abuse_nep,bal_r_nep,crisis_r_nep,spaceship_nep,bau_nep,extract_r_ins,loss_r_ins,decade_r_mor,comm_rel,wild_rel,clean_inst,tech,tech_r,iden_rel,kin_rel,right_r_mor,health_rel,other_rel,kin_met,resp_met,iden_met,other_met,feedback,lat,long,zip_code,ResponseID,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24
1,1,0,1,1,1,0,0,0,1,1,1,28,1,6,0,0,0,0,0,0,4.6,4.17,1.75,3,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,4,5,5,4,2,4,4,4,4,5,4,2,5,5,4,2,5,2,2,2,1,,42.18179321,-71.19619751,3820,R_0CJgoxE736KONEh,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,1,0,1,0,1,0,0,0,1,0,1,28,1,7,0,0,0,1,0,1,4,3.33,2.5,3,2.5,1,2,2,3,1,0,0,0,1,0,0,1,0,0,1,4,4,4,5,3,2,4,4,5,3,5,4,2,3,3,5,1,5,3,2,4,1,,42.56530762,-70.85780334,1801,R_0jo1GHSPQ9TFfY9,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
3,1,0,1,1,1,0,0,0,1,1,1,25,1,8,0,0,1,0,0,0,5,4,1.75,3.5,3,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,2,,5,4,4,5,3,3,4,5,5,2,5,2,2,2,1,,42.0953064,-72.32450104,2171,R_0N8eYana0RLX9UF,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
4,1,0,0,2,2,0,0,0,1,0,1,38,1,8,1,0,0,1,0,1,4.8,3.67,2,3.67,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,4,4,4,4,4,4,5,4,2,4,4,4,2,4,2,2,2,2,I didn't feel like I knew enough about the pros and cons of wind farms to be able to really make a firm decision. I would have to do more research about them vs. coal plants to make a more educated decision if i was to vote on the issue. ,43.31990051,-70.63179779,2919,R_0oWwXewYpbwgTNX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
5,1,0,1,2,1,0,0,0,1,1,1,28,1,6,0,0,0,1,0,1,4.2,3.33,3.5,4,2.5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,3,4,3,3,3,4,5,4,2,2,3,4,4,4,3,3,5,3,,42.36990356,-71.23529816,6779,R_0PwlUujFg5mZFGJ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
6,1,0,1,1,1,0,0,0,1,0,1,63,1,8,0,0,1,0,0,1,5,4.83,1,3.33,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,4,5,5,5,4,5,3,3,5,5,5,5,5,1,1,1,1,,42.42810059,-71.05460358,6716,R_0uiEagDZ8utTBJ3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
7,1,1,1,1,1,1,0,1,0,1,1,33,1,11,0,0,0,1,0,0,3.6,3.17,2.75,3.33,2,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,4,3,3,2,4,2,4,2,4,3,4,4,4,2,4,2,2,3,n/a,42.19259644,-72.45980072,2108,R_0vPMCZv5m2HGGiN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
8,1,0,1,1,1,0,0,0,1,1,1,22,0,2,0,0,1,0,0,0,3.8,3.6,3,3,4,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,3,4,4,4,4,4,3,3,4,,,2,4,3,3,4,2,,42.65229797,-71.3506012,2062,R_0Vuxzafv7zVAfIx,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,1,0,0,1,1,0,0,0,1,1,1,37,1,6,0,1,0,0,0,0,4,3.83,2.25,3,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,3,2,4,4,4,4,5,4,2,4,5,4,2,4,2,2,3,2,,42.05439758,-71.75479889,1905,R_1FiDWtIbMBT6AzH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10,1,0,0,2,2,0,0,2,1,1,0,28,1,5,1,0,0,0,1,0,4.4,2.83,3.75,3,2.5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,4,2,4,3,4,2,5,2,4,2,2,4,3,4,5,3,5,2,,41.83940125,-73.12550354,2215,R_1FzXdFvpLcrq56J,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
