BLOCK,QES,ALT,ASC,small.loss,small.gain,big.gain,municipal,private,cooperative,mi4,mi8,mi10,bill
1,1,1,1,0,0,0,0,0,0,0,0,0,1
1,1,2,1,0,0,0,0,0,0,0,0,0,1
1,1,3,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,0,0,1,0,0,1,0,0,5
1,2,2,1,1,0,0,1,0,0,1,0,0,5
1,2,3,0,0,0,0,0,0,0,0,0,0,0
1,3,1,1,0,1,0,0,1,0,0,1,0,10
1,3,2,1,0,1,0,0,1,0,0,1,0,10
1,3,3,0,0,0,0,0,0,0,0,0,0,0
1,4,1,1,0,0,1,0,0,1,0,0,1,20
1,4,2,1,0,0,1,0,0,1,0,0,1,20
1,4,3,0,0,0,0,0,0,0,0,0,0,0
1,5,1,1,0,0,1,0,0,0,0,0,0,20
1,5,2,1,1,0,0,0,1,0,0,1,0,5
1,5,3,0,0,0,0,0,0,0,0,0,0,0
1,6,1,1,1,0,0,0,1,0,0,1,0,5
1,6,2,1,0,0,1,0,0,0,0,0,0,20
1,6,3,0,0,0,0,0,0,0,0,0,0,0
1,7,1,1,0,0,0,0,0,1,0,0,1,1
1,7,2,1,0,1,0,1,0,0,1,0,0,10
1,7,3,0,0,0,0,0,0,0,0,0,0,0
1,8,1,1,0,1,0,1,0,0,1,0,0,10
1,8,2,1,0,0,0,0,0,1,0,0,1,1
1,8,3,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,0,1,1,0,0,0,1,0,1
2,1,2,1,1,0,0,0,0,1,0,0,0,10
2,1,3,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,0,0,0,1,0,0,0,1,0,20
2,2,2,1,0,0,0,1,0,0,0,1,0,20
2,2,3,0,0,0,0,0,0,0,0,0,0,0
2,3,1,1,0,0,1,0,1,0,1,0,0,1
2,3,2,1,0,0,1,0,1,0,1,0,0,1
2,3,3,0,0,0,0,0,0,0,0,0,0,0
2,4,1,1,1,0,0,0,0,1,0,0,0,10
2,4,2,1,0,0,1,1,0,0,0,1,0,1
2,4,3,0,0,0,0,0,0,0,0,0,0,0
2,5,1,1,0,1,0,0,0,1,0,0,0,5
2,5,2,1,0,1,0,0,0,1,0,0,0,5
2,5,3,0,0,0,0,0,0,0,0,0,0,0
2,6,1,1,1,0,0,0,0,0,0,0,1,10
2,6,2,1,1,0,0,0,0,0,0,0,1,10
2,6,3,0,0,0,0,0,0,0,0,0,0,0
2,7,1,1,0,1,0,0,0,0,0,0,1,5
2,7,2,1,0,0,0,0,1,0,1,0,0,20
2,7,3,0,0,0,0,0,0,0,0,0,0,0
2,8,1,1,0,0,0,0,1,0,1,0,0,20
2,8,2,1,0,1,0,0,0,0,0,0,1,5
2,8,3,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,0,0,0,0,0,0,1,0,0,5
3,1,2,1,0,0,1,0,0,1,0,1,0,10
3,1,3,0,0,0,0,0,0,0,0,0,0,0
3,2,1,1,0,1,0,0,1,0,0,0,1,20
3,2,2,1,1,0,0,1,0,0,0,0,0,1
3,2,3,0,0,0,0,0,0,0,0,0,0,0
3,3,1,1,1,0,0,1,0,0,0,0,0,1
3,3,2,1,0,1,0,0,1,0,0,0,1,20
3,3,3,0,0,0,0,0,0,0,0,0,0,0
3,4,1,1,1,0,0,0,1,0,0,0,1,1
3,4,2,1,0,0,0,0,0,1,0,1,0,5
3,4,3,0,0,0,0,0,0,0,0,0,0,0
3,5,1,1,0,0,0,0,0,1,0,1,0,5
3,5,2,1,1,0,0,0,1,0,0,0,1,1
3,5,3,0,0,0,0,0,0,0,0,0,0,0
3,6,1,1,0,0,1,0,0,0,1,0,0,10
3,6,2,1,0,1,0,1,0,0,0,0,0,20
3,6,3,0,0,0,0,0,0,0,0,0,0,0
3,7,1,1,0,1,0,1,0,0,0,0,0,20
3,7,2,1,0,0,1,0,0,0,1,0,0,10
3,7,3,0,0,0,0,0,0,0,0,0,0,0
3,8,1,1,0,0,1,0,0,1,0,1,0,10
3,8,2,1,0,0,0,0,0,0,1,0,0,5
3,8,3,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,1,0,0,0,0,0,0,1,0,20
4,1,2,1,0,1,0,0,0,1,1,0,0,1
4,1,3,0,0,0,0,0,0,0,0,0,0,0
4,2,1,1,0,0,1,1,0,0,0,0,1,5
4,2,2,1,0,1,0,0,0,0,0,1,0,1
4,2,3,0,0,0,0,0,0,0,0,0,0,0
4,3,1,1,0,0,1,0,1,0,0,0,0,5
4,3,2,1,0,0,0,1,0,0,0,0,1,10
4,3,3,0,0,0,0,0,0,0,0,0,0,0
4,4,1,1,0,0,0,0,1,0,0,0,0,10
4,4,2,1,1,0,0,0,0,1,1,0,0,20
4,4,3,0,0,0,0,0,0,0,0,0,0,0
4,5,1,1,0,1,0,0,0,0,0,1,0,1
4,5,2,1,0,0,1,1,0,0,0,0,1,5
4,5,3,0,0,0,0,0,0,0,0,0,0,0
4,6,1,1,1,0,0,0,0,1,1,0,0,20
4,6,2,1,0,0,0,0,1,0,0,0,0,10
4,6,3,0,0,0,0,0,0,0,0,0,0,0
4,7,1,1,0,0,0,1,0,0,0,0,1,10
4,7,2,1,0,0,1,0,1,0,0,0,0,5
4,7,3,0,0,0,0,0,0,0,0,0,0,0
4,8,1,1,0,1,0,0,0,1,1,0,0,1
4,8,2,1,1,0,0,0,0,0,0,1,0,20
4,8,3,0,0,0,0,0,0,0,0,0,0,0
