,BLOCK,QES,ALT,ASC,big.loss,small.loss,small.gain,big.gain,state,municipal,private,cooperative,mi1,mi4,mi8,mi10,bill
1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1
2,1,1,2,2,0,1,0,0,0,0,1,0,0,0,1,0,5
3,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1
5,1,2,2,2,0,0,1,0,0,1,0,0,1,0,0,0,5
6,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,3,1,1,1,0,0,0,0,1,0,0,0,1,0,0,5
8,1,3,2,2,0,1,0,0,1,0,0,0,1,0,0,0,10
9,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,4,1,1,1,0,0,0,0,0,0,1,1,0,0,0,5
11,1,4,2,2,0,0,1,0,0,0,1,0,0,1,0,0,10
12,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,5,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
14,1,5,2,2,0,0,1,0,0,0,1,0,0,1,0,0,5
15,1,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,6,1,1,0,1,0,0,0,1,0,0,1,0,0,0,5
17,1,6,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1
18,1,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,7,1,1,0,0,0,1,0,0,1,0,1,0,0,0,10
20,1,7,2,2,1,0,0,0,0,1,0,0,0,0,0,1,5
21,1,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,8,1,1,0,1,0,0,0,0,0,1,0,1,0,0,5
23,1,8,2,2,0,0,1,0,0,1,0,0,0,0,1,0,1
24,1,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,9,1,1,1,0,0,0,1,0,0,0,1,0,0,0,5
26,2,9,2,2,0,0,0,1,0,1,0,0,0,0,1,0,1
27,2,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,10,1,1,1,0,0,0,0,0,1,0,1,0,0,0,10
29,2,10,2,2,0,0,1,0,0,1,0,0,0,1,0,0,1
