"","BLOCK","QES","ALT","ASC","small.loss","small.gain","big.gain","municipal","private","cooperative","mi4","mi8","mi10","bill"
"1",1,1,1,1,0,0,0,0,0,0,0,0,0,1
"2",1,1,2,1,0,0,0,0,0,0,0,0,0,1
"3",1,1,3,0,0,0,0,0,0,0,0,0,0,0
"4",1,2,1,1,1,0,0,1,0,0,1,0,0,5
"5",1,2,2,1,1,0,0,1,0,0,1,0,0,5
"6",1,2,3,0,0,0,0,0,0,0,0,0,0,0
"7",1,3,1,1,0,1,0,0,1,0,0,1,0,10
"8",1,3,2,1,0,1,0,0,1,0,0,1,0,10
"9",1,3,3,0,0,0,0,0,0,0,0,0,0,0
"10",1,4,1,1,0,0,1,0,0,1,0,0,1,20
"11",1,4,2,1,0,0,1,0,0,1,0,0,1,20
"12",1,4,3,0,0,0,0,0,0,0,0,0,0,0
"13",1,5,1,1,0,0,1,0,0,0,0,0,0,20
"14",1,5,2,1,1,0,0,0,1,0,0,1,0,5
"15",1,5,3,0,0,0,0,0,0,0,0,0,0,0
"16",1,6,1,1,1,0,0,0,1,0,0,1,0,5
"17",1,6,2,1,0,0,1,0,0,0,0,0,0,20
"18",1,6,3,0,0,0,0,0,0,0,0,0,0,0
"19",1,7,1,1,0,0,0,0,0,1,0,0,1,1
"20",1,7,2,1,0,1,0,1,0,0,1,0,0,10
"21",1,7,3,0,0,0,0,0,0,0,0,0,0,0
"22",1,8,1,1,0,1,0,1,0,0,1,0,0,10
"23",1,8,2,1,0,0,0,0,0,1,0,0,1,1
"24",1,8,3,0,0,0,0,0,0,0,0,0,0,0
"25",2,1,1,1,0,0,1,1,0,0,0,1,0,1
"26",2,1,2,1,1,0,0,0,0,1,0,0,0,10
"27",2,1,3,0,0,0,0,0,0,0,0,0,0,0
"28",2,2,1,1,0,0,0,1,0,0,0,1,0,20
"29",2,2,2,1,0,0,0,1,0,0,0,1,0,20
"30",2,2,3,0,0,0,0,0,0,0,0,0,0,0
"31",2,3,1,1,0,0,1,0,1,0,1,0,0,1
"32",2,3,2,1,0,0,1,0,1,0,1,0,0,1
"33",2,3,3,0,0,0,0,0,0,0,0,0,0,0
"34",2,4,1,1,1,0,0,0,0,1,0,0,0,10
"35",2,4,2,1,0,0,1,1,0,0,0,1,0,1
"36",2,4,3,0,0,0,0,0,0,0,0,0,0,0
"37",2,5,1,1,0,1,0,0,0,1,0,0,0,5
"38",2,5,2,1,0,1,0,0,0,1,0,0,0,5
"39",2,5,3,0,0,0,0,0,0,0,0,0,0,0
"40",2,6,1,1,1,0,0,0,0,0,0,0,1,10
"41",2,6,2,1,1,0,0,0,0,0,0,0,1,10
"42",2,6,3,0,0,0,0,0,0,0,0,0,0,0
"43",2,7,1,1,0,1,0,0,0,0,0,0,1,5
"44",2,7,2,1,0,0,0,0,1,0,1,0,0,20
"45",2,7,3,0,0,0,0,0,0,0,0,0,0,0
"46",2,8,1,1,0,0,0,0,1,0,1,0,0,20
"47",2,8,2,1,0,1,0,0,0,0,0,0,1,5
"48",2,8,3,0,0,0,0,0,0,0,0,0,0,0
"49",3,1,1,1,0,0,0,0,0,0,1,0,0,5
"50",3,1,2,1,0,0,1,0,0,1,0,1,0,10
"51",3,1,3,0,0,0,0,0,0,0,0,0,0,0
"52",3,2,1,1,0,1,0,0,1,0,0,0,1,20
"53",3,2,2,1,1,0,0,1,0,0,0,0,0,1
"54",3,2,3,0,0,0,0,0,0,0,0,0,0,0
"55",3,3,1,1,1,0,0,1,0,0,0,0,0,1
"56",3,3,2,1,0,1,0,0,1,0,0,0,1,20
"57",3,3,3,0,0,0,0,0,0,0,0,0,0,0
"58",3,4,1,1,1,0,0,0,1,0,0,0,1,1
"59",3,4,2,1,0,0,0,0,0,1,0,1,0,5
"60",3,4,3,0,0,0,0,0,0,0,0,0,0,0
"61",3,5,1,1,0,0,0,0,0,1,0,1,0,5
"62",3,5,2,1,1,0,0,0,1,0,0,0,1,1
"63",3,5,3,0,0,0,0,0,0,0,0,0,0,0
"64",3,6,1,1,0,0,1,0,0,0,1,0,0,10
"65",3,6,2,1,0,1,0,1,0,0,0,0,0,20
"66",3,6,3,0,0,0,0,0,0,0,0,0,0,0
"67",3,7,1,1,0,1,0,1,0,0,0,0,0,20
"68",3,7,2,1,0,0,1,0,0,0,1,0,0,10
"69",3,7,3,0,0,0,0,0,0,0,0,0,0,0
"70",3,8,1,1,0,0,1,0,0,1,0,1,0,10
"71",3,8,2,1,0,0,0,0,0,0,1,0,0,5
"72",3,8,3,0,0,0,0,0,0,0,0,0,0,0
"73",4,1,1,1,1,0,0,0,0,0,0,1,0,20
"74",4,1,2,1,0,1,0,0,0,1,1,0,0,1
"75",4,1,3,0,0,0,0,0,0,0,0,0,0,0
"76",4,2,1,1,0,0,1,1,0,0,0,0,1,5
"77",4,2,2,1,0,1,0,0,0,0,0,1,0,1
"78",4,2,3,0,0,0,0,0,0,0,0,0,0,0
"79",4,3,1,1,0,0,1,0,1,0,0,0,0,5
"80",4,3,2,1,0,0,0,1,0,0,0,0,1,10
"81",4,3,3,0,0,0,0,0,0,0,0,0,0,0
"82",4,4,1,1,0,0,0,0,1,0,0,0,0,10
"83",4,4,2,1,1,0,0,0,0,1,1,0,0,20
"84",4,4,3,0,0,0,0,0,0,0,0,0,0,0
"85",4,5,1,1,0,1,0,0,0,0,0,1,0,1
"86",4,5,2,1,0,0,1,1,0,0,0,0,1,5
"87",4,5,3,0,0,0,0,0,0,0,0,0,0,0
"88",4,6,1,1,1,0,0,0,0,1,1,0,0,20
"89",4,6,2,1,0,0,0,0,1,0,0,0,0,10
"90",4,6,3,0,0,0,0,0,0,0,0,0,0,0
"91",4,7,1,1,0,0,0,1,0,0,0,0,1,10
"92",4,7,2,1,0,0,1,0,1,0,0,0,0,5
"93",4,7,3,0,0,0,0,0,0,0,0,0,0,0
"94",4,8,1,1,0,1,0,0,0,1,1,0,0,1
"95",4,8,2,1,1,0,0,0,0,0,0,1,0,20
"96",4,8,3,0,0,0,0,0,0,0,0,0,0,0
