Block,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,ResponseID,race,first_of_many,gender,age,zip_code,education,income,employment,attention2,pol_party,pol_party_other,freq_rec,nat_air_water,tech_sol,hum_abuse,balance_nat,ecol_crisis,nat_res,spaceship,hum_right,ecol_cat,lose_hab,plants_and_an,resp_harm,impact_dec,who_I_am,health_nat,think_wild,place_comm,citizen_care,family,identify,hum_elsewhere,feedback,lat,long,IPAddress,StartDate,EndDate,seen_turb,WP_US,wp_state,likely_cst_ec,attention_att
1,0,1,1,1,0,0,0,1,R_0CJgoxE736KONEh,White European,More likely to support,Female,28,3820,Graduate degree or Professional degree ,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Strongly Agree,Disagree,Stongly Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,"Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",,43.18710327,-70.91000366,73.219.101.149,7/26/15 9:44,7/26/15 9:53,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,0,1,0,0,0,1,R_0jo1GHSPQ9TFfY9,Asian,More likely to support,Female,28,1801,Bechelor degree,"$75,000-$99,999",Out of work,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Stongly Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Stongly Disagree,Neither Agree nor Disagree,Strongly Agree,"Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"Yes, this is  very much like  how I think about the ocean",,42.48970032,-71.15950012,76.24.238.24,7/27/15 8:32,7/27/15 8:42,Yes,Positive,Tolerated,No difference,0
1,0,1,1,1,0,0,0,1,R_0N8eYana0RLX9UF,White European,No effect on my attitude,Female,25,2171,Bechelor degree,"$100,000-$124,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Stongly Disagree,Agree,Strongly Agree,Stongly Disagree,Strongly Agree,,Strongly Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,"Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",Thank you,40.41690063,-74.25789642,208.167.254.240,7/10/15 15:08,7/10/15 15:24,Yes,Positive,Encouraged,No difference,None of the Above
1,0,0,2,2,0,0,0,1,R_0oWwXewYpbwgTNX,"Hispanic, Latino or Spanish",No effect on my attitude,Female,38,2919,Bechelor degree,"$100,000-$124,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,"Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean",,41.76939392,-71.46759796,74.97.36.23,7/20/15 10:41,7/20/15 10:53,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,2,1,0,0,0,1,R_0PwlUujFg5mZFGJ,White European,No effect on my attitude,Female,28,6779,Bechelor degree,"$50,000-$74,999",Student,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Agree,Disagree,Stongly Disagree,Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,"No, this is  very unlike  how I think about the ocean",This is  somewhat like  how I think about the ocean,,41.418396,-72.90730286,73.219.250.48,7/10/15 15:20,7/10/15 15:28,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_0uiEagDZ8utTBJ3,Black or African American,No effect on my attitude,Female,63,6716,Graduate degree or Professional degree ,"$100,000-$124,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Stongly Disagree,Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","no, thank you.",41.59890747,-72.9776001,76.28.21.15,7/16/15 21:01,7/16/15 21:15,Yes,Very positive,Encouraged,No difference,None of the Above
1,1,1,1,1,1,0,1,0,R_0vPMCZv5m2HGGiN,White European,More likely to support,Female,33,2108,Bechelor degree,"$175,000-$199,999",Employed for wages,"Yes, I am an MT worker ",Republican party,,"Rarely, 1-5 times/year",Agree,Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,"Yes, this is  like  how I think about the ocean",This is  somewhat unlike  how I think about the ocean,"Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,NO,19.98330688,73.80000305,14.195.70.110,7/21/15 6:21,7/21/15 6:26,No,Positive,Prohibited,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_0Vuxzafv7zVAfIx,White European,No effect on my attitude,Female,22,2062,Some college credit ,"$10,000-$14,999",Student,"Yes, I am an MT worker ",None,,"Every now and then, 5-10 times/year",Agree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,Agree,Disagree,,Agree,Disagree,Agree,Disagree,Agree,Agree,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"Yes, this is  like  how I think about the ocean",,42.18179321,-71.19619751,71.126.242.49,7/25/15 10:25,7/25/15 10:38,Yes,Positive,Encouraged,No difference,None of the Above
1,0,0,1,1,0,0,0,1,R_1FiDWtIbMBT6AzH,White European,More likely to support,Female,37,1905,Graduate degree or Professional degree ,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",None,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,"Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,"Yes, this is  like  how I think about the ocean",interesting survey,42.34509277,-71.09929657,69.43.65.108,7/17/15 7:01,7/17/15 7:11,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,0,2,2,0,0,2,1,R_1FzXdFvpLcrq56J,White European,No effect on my attitude,Male,28,2215,Bechelor degree,"$35,000-$49,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Strongly Agree,Disagree,Strongly Agree,Disagree,Stongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Agree,This is  somewhat like  how I think about the ocean,"No, this is  very unlike  how I think about the ocean","No, this is  very unlike  how I think about the ocean","Yes, this is  like  how I think about the ocean",,42.33659363,-71.07260132,209.6.156.209,7/13/15 12:45,7/13/15 12:56,Yes,Very positive,Encouraged,No difference,None of the Above
