Survey,Choice Set,Choice ID,Hab_qual,Ownership,Visiblity,Bill,Ch_Pr_ID
1,1,1,small gain,state,1 mi,$1.00,S1_CS1_CID1
1,2,1,small loss,cooperative,8 mi,$1.00,S1_CS2_CID1
1,3,1,big loss,municipal,4 mi,$5.00,S1_CS3_CID1
1,4,1,big loss,cooperative,1 mi,$5.00,S1_CS4_CID1
1,5,1,big gain,state,1 mi,$1.00,S1_CS5_CID1
1,6,1,small loss,municipal,1 mi,$5.00,S1_CS6_CID1
1,7,1,big gain,private,1 mi,$10.00,S1_CS7_CID1
1,8,1,small loss,cooperative,4 mi,$5.00,S1_CS8_CID1
1,1,2,small loss,private,8 mi,$5.00,S1_CS1_CID2
1,2,2,small gain,municipal,1 mi,$5.00,S1_CS2_CID2
1,3,2,small loss,state,1 mi,$10.00,S1_CS3_CID2
1,4,2,small gain,private,4 mi,$10.00,S1_CS4_CID2
1,5,2,small gain,private,4 mi,$5.00,S1_CS5_CID2
1,6,2,big loss,state,4 mi,$1.00,S1_CS6_CID2
1,7,2,big loss,municipal,10 mi,$5.00,S1_CS7_CID2
1,8,2,small gain,municipal,8 mi,$1.00,S1_CS8_CID2
1,1,3,0,0,0,$0.00,S1_CS1_CID3
1,2,3,0,0,0,$0.00,S1_CS2_CID3
1,3,3,0,0,0,$0.00,S1_CS3_CID3
1,4,3,0,0,0,$0.00,S1_CS4_CID3
1,5,3,0,0,0,$0.00,S1_CS5_CID3
1,6,3,0,0,0,$0.00,S1_CS6_CID3
1,7,3,0,0,0,$0.00,S1_CS7_CID3
1,8,3,0,0,0,$0.00,S1_CS8_CID3
2,9,1,big loss,state,1 mi,$5.00,S2_CS9_CID1
2,10,1,big loss,private,1 mi,$10.00,S2_CS10_CID1
2,11,1,small loss,private,8 mi,$1.00,S2_CS11_CID1
2,12,1,big loss,state,8 mi,$5.00,S2_CS12_CID1
2,13,1,big loss,private,10 mi,$1.00,S2_CS13_CID1
2,14,1,small loss,private,10 mi,$20.00,S2_CS14_CID1
2,15,1,small loss,state,4 mi,$1.00,S2_CS15_CID1
2,16,1,small loss,state,8 mi,$5.00,S2_CS16_CID1
2,9,2,big gain,municipal,8 mi,$1.00,S2_CS9_CID2
2,10,2,small gain,municipal,4 mi,$1.00,S2_CS10_CID2
2,11,2,big loss,municipal,4 mi,$10.00,S2_CS11_CID2
2,12,2,small loss,municipal,4 mi,$10.00,S2_CS12_CID2
2,13,2,big gain,state,1 mi,$5.00,S2_CS13_CID2
2,14,2,small gain,cooperative,8 mi,$5.00,S2_CS14_CID2
2,15,2,small gain,municipal,8 mi,$10.00,S2_CS15_CID2
2,16,2,small gain,private,1 mi,$20.00,S2_CS16_CID2
2,9,3,0,0,0,$0.00,S2_CS9_CID3
2,10,3,0,0,0,$0.00,S2_CS10_CID3
2,11,3,0,0,0,$0.00,S2_CS11_CID3
2,12,3,0,0,0,$0.00,S2_CS12_CID3
2,13,3,0,0,0,$0.00,S2_CS13_CID3
2,14,3,0,0,0,$0.00,S2_CS14_CID3
2,15,3,0,0,0,$0.00,S2_CS15_CID3
2,16,3,0,0,0,$0.00,S2_CS16_CID3
3,17,1,small gain,state,4 mi,$20.00,S3_CS17_CID1
3,18,1,big gain,cooperative,10 mi,$10.00,S3_CS18_CID1
3,19,1,small gain,state,10 mi,$20.00,S3_CS19_CID1
3,20,1,big loss,municipal,8 mi,$10.00,S3_CS20_CID1
3,21,1,big gain,municipal,10 mi,$5.00,S3_CS21_CID1
3,22,1,small gain,state,10 mi,$5.00,S3_CS22_CID1
3,23,1,big gain,private,4 mi,$10.00,S3_CS23_CID1
3,24,1,small loss,cooperative,8 mi,$20.00,S3_CS24_CID1
3,17,2,big loss,private,10 mi,$10.00,S3_CS17_CID2
3,18,2,big loss,private,1 mi,$5.00,S3_CS18_CID2
3,19,2,big gain,municipal,4 mi,$5.00,S3_CS19_CID2
3,20,2,small gain,private,4 mi,$5.00,S3_CS20_CID2
3,21,2,small gain,cooperative,8 mi,$10.00,S3_CS21_CID2
3,22,2,big loss,municipal,8 mi,$10.00,S3_CS22_CID2
3,23,2,small gain,municipal,8 mi,$20.00,S3_CS23_CID2
3,24,2,big gain,state,10 mi,$10.00,S3_CS24_CID2
3,17,3,0,0,0,$0.00,S3_CS17_CID3
3,18,3,0,0,0,$0.00,S3_CS18_CID3
3,19,3,0,0,0,$0.00,S3_CS19_CID3
3,20,3,0,0,0,$0.00,S3_CS20_CID3
3,21,3,0,0,0,$0.00,S3_CS21_CID3
3,22,3,0,0,0,$0.00,S3_CS22_CID3
3,23,3,0,0,0,$0.00,S3_CS23_CID3
3,24,3,0,0,0,$0.00,S3_CS24_CID3
4,25,1,big gain,cooperative,10 mi,$20.00,S4_CS25_CID1
4,26,1,big loss,state,8 mi,$10.00,S4_CS26_CID1
4,27,1,small gain,private,8 mi,$10.00,S4_CS27_CID1
4,28,1,big loss,cooperative,4 mi,$1.00,S4_CS28_CID1
4,29,1,small loss,state,4 mi,$10.00,S4_CS29_CID1
4,30,1,big gain,private,8 mi,$20.00,S4_CS30_CID1
4,31,1,small loss,municipal,1 mi,$10.00,S4_CS31_CID1
4,32,1,big loss,state,4 mi,$20.00,S4_CS32_CID1
4,25,2,small loss,private,10 mi,$1.00,S4_CS25_CID2
4,26,2,small loss,cooperative,10 mi,$20.00,S4_CS26_CID2
4,27,2,small loss,municipal,1 mi,$1.00,S4_CS27_CID2
4,28,2,small loss,state,8 mi,$5.00,S4_CS28_CID2
4,29,2,big loss,private,1 mi,$1.00,S4_CS29_CID2
4,30,2,small gain,cooperative,10 mi,$10.00,S4_CS30_CID2
4,31,2,big gain,private,8 mi,$5.00,S4_CS31_CID2
4,32,2,small gain,private,1 mi,$1.00,S4_CS32_CID2
4,25,3,0,0,0,$0.00,S4_CS25_CID3
4,26,3,0,0,0,$0.00,S4_CS26_CID3
4,27,3,0,0,0,$0.00,S4_CS27_CID3
4,28,3,0,0,0,$0.00,S4_CS28_CID3
4,29,3,0,0,0,$0.00,S4_CS29_CID3
4,30,3,0,0,0,$0.00,S4_CS30_CID3
4,31,3,0,0,0,$0.00,S4_CS31_CID3
4,32,3,0,0,0,$0.00,S4_CS32_CID3
