ResponseID	IPAddress	StartDate	EndDate	finished	att_w_US	oper	const_st	wf_rec	sup	opp	dis	skep	int	af	con	cur	ap	enth	app	att1	first_st	gender	age	zip	zip2	ethnic_or	White European	Other	Other_TEXT	edu	income	employ	att2	pol	pol_other	rec	abuse_nep	bal_r_nep	crisis_r_nep	spaceship_nep	bau_nep	extract_r_ins	loss_r_ins	decade_r_mor	comm_rel	wild_rel	clean_inst	tech	tech_r	iden_rel	kin_rel	right_r_mor	health_rel	other_rel	kin_met	resp_met	iden_met	other_met	mean_nep	mean_rel	mean_met	mean_inst	mean_mor	feedback	lat	long
R_3r4vrsx373Jhgkl	207.159.171.250	7/23/15 11:05	7/23/15 11:16	1	2	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	5	2	20	1001	1001	Asian	0	0		4	4	1	4	3		5	5	4	4	4	5	2	4	4	4	3	5	4	2	4	4	4	2	4	2	2	2	1	4.4	3.5	1.75	3	3		42.12510681	-72.74949646
R_eLqKxoiUzn5lum1	174.62.218.252	7/14/15 13:22	7/14/15 13:32	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	5	2	24	1002	1002	White European	1	0		4	2	1	4	1		2	5	5	5	4	5	3	5	4	5	5	5	1	5	5	4	4	1	4	3	3	5	3	4.8	4	3.5	3	3		42.38960266	-72.45339966
R_5i0au36wPN2VtJ3	75.134.241.240	7/11/15 9:58	7/11/15 10:07	1	1	2	5	3	0	0	0	0	0	0	0	0	0	0	0	1	4	1	44	1020	1020	White European	1	0		3	1	5	4	3		4	2	2	2	3	2	2	2	4	2	2	4	4	2	4	2	4	4	2	5	3	5	3	2.2	2.67	4	3.33	3	n/a	42.19259644	-72.45980072
R_3LfDMnA3qEuedUx	73.47.180.18	7/15/15 13:16	7/15/15 13:21	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	1	33	1027	1027	White European	1	0		6	7	1	4	3		2	5	4	5	4	4	3	5	5	4	4	5	4	2	4	5	5	2	5	1	1	2	1	4.4	4	1.25	3	3		42.17329407	-72.77149963
R_5cGeZbsxb2e2HEF	71.10.223.112	7/16/15 16:38	7/16/15 16:48	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	1	30	1027	1027	White European	1	0		6	1	2	4	3		4	5	5	5	5	5	4	5	5	4	5	5	1	5	5	4	5	1	5	3	2	4	2	5	4	2.75	3.33	3		42.29029846	-72.64040375
R_6Gd3llQdQpVornD	68.112.102.73	7/23/15 17:54	7/23/15 18:07	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	1	36	1027	1027	White European	1	0		7	7	1	4	1		3	5	5	5	5	5	2	5	4	5	3	5	2	4	4	5	5	1	4	3	2	2	2	5	3.67	2.25	2.67	2.5		42.19259644	-72.45980072
R_9YSE6ASb2YFyqNf	71.127.11.215	7/27/15 12:30	7/27/15 12:47	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	1	61	1039	1039	White European	1	0		7	5	2	4	1		1	5	5	5	4	5	2	5	5	5	5	5	5	1	5	5	5	1	5	1	1	1	1	4.8	4.33	1	2.67	3	Thank you for the opportunity to offer my thoughts on this important topic.	42.29029846	-72.64040375
R_2tWfXopTD51sAkt	73.143.81.63	7/26/15 13:40	7/26/15 13:51	1	2	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	4	1	28	1040	1040	White European	1	0		4	4	1	4	3		5	4	3	4	4	5	4	3	4	5	4	5	3	3	3	4	4	4	4	4	2	4	2	4	4	3	4	3		42.22380066	-72.64089966
R_9sQEsdc3WvjJmFD	71.192.38.159	7/12/15 5:23	7/12/15 5:39	1	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	1	3	2	46	1060	1060		0	1	human	6	5	2	4	3		4	2	2	2	2	1	2	2	2	3	2	4	4	2	3	3	2	3	4	4	3	5	3	1.8	3	3.75	3.33	3		42.32940674	-72.69390106
R_0VwcmZkYWSpWUAZ	70.215.19.162	7/24/15 12:05	7/24/15 12:19	1	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	1	2	2	33	1075	1075	White European	1	0		7	6	1	4	2		4	3	4	3	4	2	2	4	4	4	3	5	5	1	4	4	4	2	4	5	3	4	2	3.2	3.5	3.5	3	3		41.68559265	-72.73120117
