Var1	zip1	zip2	count
1001	01001	01001	1
1002	01002	01002	1
1020	01020	01020	1
1027	01027	01027	3
1039	01039	01039	1
1040	01040	01040	1
1060	01060	01060	1
1075	01075	01075	1
1080	01080	01080	1
1082	01082	01082	1
1083	01083	01083	1
1085	01085	01085	1
1089	01089	01089	2
1120	01120	01120	1
1129	01129	01129	1
1201	01201	01201	1
1230	01230	01230	1
1245	01245	01245	1
1339	01339	01339	1
1375	01375	01375	2
1430	01430	01430	1
1432	01432	01432	1
1440	01440	01440	2
1460	01460	01460	1
1462	01462	01462	2
1463	01463	01463	1
1507	01507	01507	1
1519	01519	01519	1
1524	01524	01524	2
1527	01527	01527	3
1532	01532	01532	1
1534	01534	01534	1
1536	01536	01536	1
1543	01543	01543	1
1569	01569	01569	1
1581	01581	01581	1
1585	01585	01585	2
1601	01601	01601	1
1602	01602	01602	1
1603	01603	01603	1
1607	01607	01607	1
1608	01608	01608	1
1610	01610	01610	1
1720	01720	01720	1
1721	01721	01721	1
1742	01742	01742	1
1747	01747	01747	1
1752	01752	01752	1
1760	01760	01760	1
1776	01776	01776	1
1801	01801	01801	2
1803	01803	01803	2
1810	01810	01810	2
1824	01824	01824	2
1826	01826	01826	1
1830	01830	01830	1
1844	01844	01844	1
1845	01845	01845	1
1852	01852	01852	1
1860	01860	01860	1
1862	01862	01862	1
1886	01886	01886	1
1905	01905	01905	1
1906	01906	01906	2
1915	01915	01915	2
1921	01921	01921	2
1923	01923	01923	1
1929	01929	01929	1
1930	01930	01930	1
1938	01938	01938	1
1970	01970	01970	1
2050	02050	02050	1
2053	02053	02053	1
2062	02062	02062	1
2067	02067	02067	1
2093	02093	02093	1
2108	02108	02108	3
2114	02114	02114	1
2115	02115	02115	1
2120	02120	02120	2
2127	02127	02127	2
2128	02128	02128	1
2130	02130	02130	3
2132	02132	02132	1
2134	02134	02134	2
2135	02135	02135	4
2138	02138	02138	3
2141	02141	02141	1
2143	02143	02143	3
2144	02144	02144	2
2145	02145	02145	1
2148	02148	02148	1
2149	02149	02149	1
2151	02151	02151	1
2155	02155	02155	4
2169	02169	02169	3
2171	02171	02171	3
2176	02176	02176	1
2189	02189	02189	1
2190	02190	02190	1
2215	02215	02215	4
2301	02301	02301	1
2324	02324	02324	1
2347	02347	02347	1
2360	02360	02360	1
2364	02364	02364	3
2368	02368	02368	2
2370	02370	02370	1
2375	02375	02375	1
2420	02420	02420	1
2446	02446	02446	3
2453	02453	02453	1
2466	02466	02466	1
2467	02467	02467	1
2472	02472	02472	2
2474	02474	02474	1
2481	02481	02481	1
2482	02482	02482	1
2558	02558	02558	1
2601	02601	02601	1
2648	02648	02648	1
2703	02703	02703	5
2719	02719	02719	1
2720	02720	02720	2
2726	02726	02726	1
2747	02747	02747	1
2766	02766	02766	1
2780	02780	02780	1
2790	02790	02790	1
2804	02804	02804	1
2806	02806	02806	1
2809	02809	02809	1
2816	02816	02816	1
2818	02818	02818	2
2830	02830	02830	1
2832	02832	02832	1
2840	02840	02840	1
2852	02852	02852	1
2857	02857	02857	2
2865	02865	02865	1
2878	02878	02878	1
2879	02879	02879	1
2882	02882	02882	1
2886	02886	02886	2
2889	02889	02889	2
2893	02893	02893	1
2895	02895	02895	2
2896	02896	02896	1
2904	02904	02904	1
2905	02905	02905	1
2906	02906	02906	1
2908	02908	02908	1
2910	02910	02910	1
2914	02914	02914	3
2919	02919	02919	3
2920	02920	02920	2
2921	02921	02921	2
3032	03032	03032	1
3034	03034	03034	1
3049	03049	03049	1
3055	03055	03055	1
3062	03062	03062	1
3063	03063	03063	1
3071	03071	03071	1
3079	03079	03079	3
3086	03086	03086	1
3087	03087	03087	1
3104	03104	03104	1
3110	03110	03110	2
3229	03229	03229	1
3244	03244	03244	1
3258	03258	03258	1
3275	03275	03275	1
3301	03301	03301	2
3431	03431	03431	1
3446	03446	03446	1
3452	03452	03452	1
3467	03467	03467	1
3781	03781	03781	1
3782	03782	03782	1
3801	03801	03801	1
3820	03820	03820	1
3833	03833	03833	1
3857	03857	03857	3
3858	03858	03858	1
3868	03868	03868	1
3873	03873	03873	1
3878	03878	03878	2
3909	03909	03909	1
4005	04005	04005	1
4038	04038	04038	1
4042	04042	04042	2
4062	04062	04062	2
4084	04084	04084	1
4093	04093	04093	2
4101	04101	04101	2
4103	04103	04103	1
4105	04105	04105	1
4106	04106	04106	2
4210	04210	04210	2
4217	04217	04217	1
4240	04240	04240	3
4263	04263	04263	1
4282	04282	04282	1
4330	04330	04330	3
4357	04357	04357	2
4364	04364	04364	1
4401	04401	04401	3
4427	04427	04427	1
4434	04434	04434	1
4444	04444	04444	1
4473	04473	04473	1
4496	04496	04496	2
4553	04553	04553	1
4730	04730	04730	1
4740	04740	04740	4
4901	04901	04901	1
4910	04910	04910	2
4981	04981	04981	1
5301	05301	05301	1
6001	06001	06001	1
6010	06010	06010	3
6029	06029	06029	1
6032	06032	06032	1
6037	06037	06037	1
6040	06040	06040	2
6042	06042	06042	1
6066	06066	06066	1
6078	06078	06078	1
6088	06088	06088	1
6095	06095	06095	2
6103	06103	06103	1
6107	06107	06107	2
6109	06109	06109	1
6110	06110	06110	3
6111	06111	06111	2
6119	06119	06119	1
6268	06268	06268	2
6281	06281	06281	1
6320	06320	06320	1
6330	06330	06330	1
6339	06339	06339	1
6340	06340	06340	1
6357	06357	06357	1
6359	06359	06359	1
6385	06385	06385	1
6450	06450	06450	2
6456	06456	06456	1
6457	06457	06457	3
6469	06469	06469	1
6470	06470	06470	1
6471	06471	06471	1
6479	06479	06479	1
6488	06488	06488	1
6492	06492	06492	1
6511	06511	06511	1
6512	06512	06512	1
6615	06615	06615	2
6708	06708	06708	2
6712	06712	06712	1
6716	06716	06716	1
6770	06770	06770	2
6776	06776	06776	3
6779	06779	06779	1
6790	06790	06790	2
6804	06804	06804	1
6810	06810	06810	1
6812	06812	06812	1
6850	06850	06850	1
6854	06854	06854	2
6883	06883	06883	1
6896	06896	06896	1
6902	06902	06902	1
6905	06905	06905	2
8816	08816	08816	1
8844	08844	08844	1
11101	11101	11101	1
12204	12204	12204	1
28211	28211	28211	1
28212	28212	28212	1
28777	28777	28777	1
29420	29420	29420	2
32065	32065	32065	1
53719	53719	53719	1
60602	60602	60602	1
66503	66503	66503	2
68007	68007	68007	1
77046	77046	77046	1
95363	95363	95363	1
