Zip2,field_1,Var1,nums
,1,1001,1
,2,1002,1
,3,1020,1
,4,1027,3
,5,1039,1
,6,1040,1
,7,1060,1
,8,1075,1
,9,1080,1
,10,1082,1
,11,1083,1
,12,1085,1
,13,1089,2
,14,1120,1
,15,1129,1
,16,1201,1
,17,1230,1
,18,1245,1
,19,1339,1
,20,1375,2
,21,1430,1
,22,1432,1
,23,1440,2
,24,1460,1
,25,1462,2
,26,1463,1
,27,1507,1
,28,1519,1
,29,1524,2
,30,1527,3
,31,1532,1
,32,1534,1
,33,1536,1
,34,1543,1
,35,1569,1
,36,1581,1
,37,1585,2
,38,1601,1
,39,1602,1
,40,1603,1
,41,1607,1
,42,1608,1
,43,1610,1
,44,1720,1
,45,1721,1
,46,1742,1
,47,1747,1
,48,1752,1
,49,1760,1
,50,1776,1
,51,1801,2
,52,1803,2
,53,1810,2
,54,1824,2
,55,1826,1
,56,1830,1
,57,1844,1
,58,1845,1
,59,1852,1
,60,1860,1
,61,1862,1
,62,1886,1
,63,1905,1
,64,1906,2
,65,1915,2
,66,1921,2
,67,1923,1
,68,1929,1
,69,1930,1
,70,1938,1
,71,1970,1
,72,2050,1
,73,2053,1
,74,2062,1
,75,2067,1
,76,2093,1
,77,2108,3
,78,2114,1
,79,2115,1
,80,2120,2
,81,2127,2
,82,2128,1
,83,2130,3
,84,2132,1
,85,2134,2
,86,2135,4
,87,2138,3
,88,2141,1
,89,2143,3
,90,2144,2
,91,2145,1
,92,2148,1
,93,2149,1
,94,2151,1
,95,2155,4
,96,2169,3
,97,2171,3
,98,2176,1
,99,2189,1
,100,2190,1
,101,2215,4
,102,2301,1
,103,2324,1
,104,2347,1
,105,2360,1
,106,2364,3
,107,2368,2
,108,2370,1
,109,2375,1
,110,2420,1
,111,2446,3
,112,2453,1
,113,2466,1
,114,2467,1
,115,2472,2
,116,2474,1
,117,2481,1
,118,2482,1
,119,2558,1
,120,2601,1
,121,2648,1
,122,2703,5
,123,2719,1
,124,2720,2
,125,2726,1
,126,2747,1
,127,2766,1
,128,2780,1
,129,2790,1
,130,2804,1
,131,2806,1
,132,2809,1
,133,2816,1
,134,2818,2
,135,2830,1
,136,2832,1
,137,2840,1
,138,2852,1
,139,2857,2
,140,2865,1
,141,2878,1
,142,2879,1
,143,2882,1
,144,2886,2
,145,2889,2
,146,2893,1
,147,2895,2
,148,2896,1
,149,2904,1
,150,2905,1
,151,2906,1
,152,2908,1
,153,2910,1
,154,2914,3
,155,2919,3
,156,2920,2
,157,2921,2
,158,3032,1
,159,3034,1
,160,3049,1
,161,3055,1
,162,3062,1
,163,3063,1
,164,3071,1
,165,3079,3
,166,3086,1
,167,3087,1
,168,3104,1
,169,3110,2
,170,3229,1
,171,3244,1
,172,3258,1
,173,3275,1
,174,3301,2
,175,3431,1
,176,3446,1
,177,3452,1
,178,3467,1
,179,3781,1
,180,3782,1
,181,3801,1
,182,3820,1
,183,3833,1
,184,3857,3
,185,3858,1
,186,3868,1
,187,3873,1
,188,3878,2
,189,3909,1
,190,4005,1
,191,4038,1
,192,4042,2
,193,4062,2
,194,4084,1
,195,4093,2
,196,4101,2
,197,4103,1
,198,4105,1
,199,4106,2
,200,4210,2
,201,4217,1
,202,4240,3
,203,4263,1
,204,4282,1
,205,4330,3
,206,4357,2
,207,4364,1
,208,4401,3
,209,4427,1
,210,4434,1
,211,4444,1
,212,4473,1
,213,4496,2
,214,4553,1
,215,4730,1
,216,4740,4
,217,4901,1
,218,4910,2
,219,4981,1
,220,5301,1
,221,6001,1
,222,6010,3
,223,6029,1
,224,6032,1
,225,6037,1
,226,6040,2
,227,6042,1
,228,6066,1
,229,6078,1
,230,6088,1
,231,6095,2
,232,6103,1
,233,6107,2
,234,6109,1
,235,6110,3
,236,6111,2
,237,6119,1
,238,6268,2
,239,6281,1
,240,6320,1
,241,6330,1
,242,6339,1
,243,6340,1
,244,6357,1
,245,6359,1
,246,6385,1
,247,6450,2
,248,6456,1
,249,6457,3
,250,6469,1
,251,6470,1
,252,6471,1
,253,6479,1
,254,6488,1
,255,6492,1
,256,6511,1
,257,6512,1
,258,6615,2
,259,6708,2
,260,6712,1
,261,6716,1
,262,6770,2
,263,6776,3
,264,6779,1
,265,6790,2
,266,6804,1
,267,6810,1
,268,6812,1
,269,6850,1
,270,6854,2
,271,6883,1
,272,6896,1
,273,6902,1
,274,6905,2
,275,8816,1
,276,8844,1
,277,11101,1
,278,12204,1
,279,28211,1
,280,28212,1
,281,28777,1
,282,29420,2
,283,32065,1
,284,53719,1
,285,60602,1
,286,66503,2
,287,68007,1
,288,77046,1
,289,95363,1
